"filename", "language", "Dockerfile", "Properties", "Shell Script", "Markdown", "YAML", "Ini", "C++", "C", "Python", "Protocol Buffers", "JSON", "Diff", "Go", "Makefile", "Lua", "comment", "blank", "total"
"c:\FILES\CURVE\curve\.github\ISSUE_TEMPLATE\ask-a-question.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\FILES\CURVE\curve\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30
"c:\FILES\CURVE\curve\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20
"c:\FILES\CURVE\curve\.gitmodules", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\FILES\CURVE\curve\Dockerfile", "Dockerfile", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 23
"c:\FILES\CURVE\curve\README.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"c:\FILES\CURVE\curve\conf\client.conf", "Properties", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 33, 137
"c:\FILES\CURVE\curve\conf\cs_client.conf", "Properties", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 35, 145
"c:\FILES\CURVE\curve\conf\mds.conf", "Properties", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 17, 191
"c:\FILES\CURVE\curve\conf\py_client.conf", "Properties", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 33, 139
"c:\FILES\CURVE\curve\conf\s3.conf", "Properties", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 18
"c:\FILES\CURVE\curve\conf\snap_client.conf", "Properties", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 35, 145
"c:\FILES\CURVE\curve\conf\snapshot_clone_server.conf", "Properties", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 7, 98
"c:\FILES\CURVE\curve\conf\tools.conf", "Properties", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 15
"c:\FILES\CURVE\curve\curve-ansible\check_chunkserver.yml", "YAML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 27
"c:\FILES\CURVE\curve\curve-ansible\check_mds.yml", "YAML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 27
"c:\FILES\CURVE\curve\curve-ansible\client.ini", "Ini", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\check_chunkserver.yml", "YAML", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 106
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\check_cluster_healthy_status.yml", "YAML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 21
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\check_mds.yml", "YAML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 33
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\create_dir.yml", "YAML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 26
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\create_logical_pool.yml", "YAML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 21
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\create_physical_pool.yml", "YAML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 21
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\get_curve_version_from_metric.yml", "YAML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 30
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\get_distro_name.yml", "YAML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 28
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\get_nebd_version_from_metric.yml", "YAML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 30
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\get_software_version_from_package_version.yml", "YAML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 27
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\update_package.yml", "YAML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 22
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\wait_copysets_status_healthy.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 26
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\wait_until_server_down.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 24
"c:\FILES\CURVE\curve\curve-ansible\common_tasks\wait_until_server_up.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 23
"c:\FILES\CURVE\curve\curve-ansible\deploy_chunkserver.yml", "YAML", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 5, 66
"c:\FILES\CURVE\curve\curve-ansible\deploy_curve.yml", "YAML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 6, 38
"c:\FILES\CURVE\curve\curve-ansible\deploy_curve_sdk.yml", "YAML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 32
"c:\FILES\CURVE\curve\curve-ansible\deploy_etcd.yml", "YAML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 45
"c:\FILES\CURVE\curve\curve-ansible\deploy_mds.yml", "YAML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 4, 61
