Date : 2020-07-28 13:36:27
Directory : c:\FILES\CURVE\curve
Total : 1534 files,  263355 codes, 82397 comments, 53346 blanks, all 399098 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |      1,311 |    215,352 |     78,652 |     49,356 |    343,360 |
| JSON             |         17 |     25,561 |          0 |         22 |     25,583 |
| Diff             |          4 |      8,730 |        175 |        393 |      9,298 |
| Lua              |         18 |      3,104 |        318 |        854 |      4,276 |
| Shell Script     |         23 |      2,202 |        588 |        318 |      3,108 |
| Markdown         |         15 |      2,094 |          0 |        966 |      3,060 |
| Protocol Buffers |         17 |      1,806 |          0 |        331 |      2,137 |
| YAML             |         90 |      1,673 |      1,434 |        365 |      3,472 |
| Python           |         13 |      1,655 |        281 |        359 |      2,295 |
| Go               |          2 |        475 |        128 |         73 |        676 |
| Properties       |         17 |        465 |        795 |        259 |      1,519 |
| Ini              |          2 |        133 |          0 |         17 |        150 |
| Dockerfile       |          2 |         57 |         11 |         18 |         86 |
| C                |          2 |         24 |          0 |          6 |         30 |
| Makefile         |          1 |         24 |         15 |          9 |         48 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |      1,534 |    263,355 |     82,397 |     53,346 |    399,098 |
| .github                                                                                                               |          3 |         39 |          0 |         22 |         61 |
| .github\ISSUE_TEMPLATE                                                                                                |          3 |         39 |          0 |         22 |         61 |
| conf                                                                                                                  |          8 |        245 |        481 |        162 |        888 |
| curve-ansible                                                                                                         |         91 |      1,945 |      1,437 |        413 |      3,795 |
| curve-ansible\common_tasks                                                                                            |         14 |        171 |        217 |         50 |        438 |
| curve-ansible\group_vars                                                                                              |          2 |         37 |         31 |          4 |         72 |
| curve-ansible\host_vars                                                                                               |          1 |          6 |         15 |          2 |         23 |
| curve-ansible\roles                                                                                                   |         53 |      1,120 |        826 |        252 |      2,198 |
| curve-ansible\roles\format_chunkserver                                                                                |          4 |         22 |         60 |         10 |         92 |
| curve-ansible\roles\format_chunkserver\defaults                                                                       |          1 |          2 |         15 |          2 |         19 |
| curve-ansible\roles\format_chunkserver\tasks                                                                          |          3 |         20 |         45 |          8 |         73 |
| curve-ansible\roles\format_chunkserver\tasks\include                                                                  |          2 |         13 |         30 |          5 |         48 |
| curve-ansible\roles\generate_config                                                                                   |          3 |        238 |         57 |         23 |        318 |
| curve-ansible\roles\generate_config\defaults                                                                          |          1 |        216 |         27 |         16 |        259 |
| curve-ansible\roles\generate_config\tasks                                                                             |          1 |         19 |         15 |          5 |         39 |
| curve-ansible\roles\generate_config\vars                                                                              |          1 |          3 |         15 |          2 |         20 |
| curve-ansible\roles\install_package                                                                                   |         20 |        562 |        323 |        136 |      1,021 |
| curve-ansible\roles\install_package\defaults                                                                          |          1 |         28 |         15 |          7 |         50 |
| curve-ansible\roles\install_package\files                                                                             |          1 |        154 |         37 |         35 |        226 |
| curve-ansible\roles\install_package\tasks                                                                             |         17 |        375 |        255 |         92 |        722 |
| curve-ansible\roles\install_package\tasks\include                                                                     |         16 |        366 |        240 |         89 |        695 |
| curve-ansible\roles\install_package\vars                                                                              |          1 |          5 |         16 |          2 |         23 |
| curve-ansible\roles\restart_service                                                                                   |         11 |        154 |        173 |         41 |        368 |
| curve-ansible\roles\restart_service\tasks                                                                             |         10 |        145 |        157 |         39 |        341 |
| curve-ansible\roles\restart_service\tasks\include                                                                     |          9 |        142 |        141 |         37 |        320 |
| curve-ansible\roles\restart_service\vars                                                                              |          1 |          9 |         16 |          2 |         27 |
| curve-ansible\roles\set_leader_and_follower_list                                                                      |          6 |         66 |         76 |         19 |        161 |
| curve-ansible\roles\set_leader_and_follower_list\tasks                                                                |          5 |         63 |         75 |         18 |        156 |
| curve-ansible\roles\set_leader_and_follower_list\tasks\include                                                        |          4 |         38 |         60 |         12 |        110 |
| curve-ansible\roles\set_leader_and_follower_list\vars                                                                 |          1 |          3 |          1 |          1 |          5 |
| curve-ansible\roles\start_service                                                                                     |          9 |         78 |        137 |         23 |        238 |
| curve-ansible\roles\start_service\tasks                                                                               |          8 |         76 |        122 |         21 |        219 |
| curve-ansible\roles\start_service\tasks\include                                                                       |          7 |         73 |        106 |         19 |        198 |
| curve-ansible\roles\start_service\vars                                                                                |          1 |          2 |         15 |          2 |         19 |
| curve-chunkserver                                                                                                     |          3 |        672 |         99 |         78 |        849 |
| curve-chunkserver\home                                                                                                |          3 |        672 |         99 |         78 |        849 |
| curve-chunkserver\home\nbs                                                                                            |          3 |        672 |         99 |         78 |        849 |
| curve-mds                                                                                                             |          2 |        342 |         89 |         63 |        494 |
| curve-mds\home                                                                                                        |          2 |        342 |         89 |         63 |        494 |
| curve-mds\home\nbs                                                                                                    |          2 |        342 |         89 |         63 |        494 |
| curve-snapshotcloneserver                                                                                             |          1 |        205 |         48 |         35 |        288 |
| curve-snapshotcloneserver-nginx                                                                                       |         20 |      3,206 |        330 |        887 |      4,423 |
| curve-snapshotcloneserver-nginx\app                                                                                   |         18 |      3,104 |        318 |        854 |      4,276 |
| curve-snapshotcloneserver-nginx\app\etc                                                                               |          1 |         24 |         17 |         13 |         54 |
| curve-snapshotcloneserver-nginx\app\lib                                                                               |         10 |      1,818 |        183 |        461 |      2,462 |
| curve-snapshotcloneserver-nginx\app\lib\resty                                                                         |         10 |      1,818 |        183 |        461 |      2,462 |
| curve-snapshotcloneserver-nginx\app\lib\resty\checkups                                                                |          7 |      1,469 |         38 |        374 |      1,881 |
| curve-snapshotcloneserver-nginx\app\src                                                                               |          7 |      1,262 |        118 |        380 |      1,760 |
| curve-snapshotcloneserver-nginx\app\src\modules                                                                       |          4 |      1,249 |         76 |        369 |      1,694 |
| curve-snapshotcloneserver-nginx\conf                                                                                  |          1 |         60 |          3 |         21 |         84 |
| curve-snapshotcloneserver-nginx\docker                                                                                |          1 |         42 |          9 |         12 |         63 |
| curve-snapshotcloneserver\home                                                                                        |          1 |        205 |         48 |         35 |        288 |
| curve-snapshotcloneserver\home\nbs                                                                                    |          1 |        205 |         48 |         35 |        288 |
| curvefs_python                                                                                                        |         14 |      7,243 |        734 |        933 |      8,910 |
| curvesnapshot_python                                                                                                  |          9 |     13,290 |        742 |      1,619 |     15,651 |
| deploy                                                                                                                |          7 |         48 |        127 |         29 |        204 |
| deploy\local                                                                                                          |          7 |         48 |        127 |         29 |        204 |
| deploy\local\chunkserver                                                                                              |          6 |         36 |        106 |         25 |        167 |
| deploy\local\test                                                                                                     |          1 |         12 |         21 |          4 |         37 |
| docs                                                                                                                  |          9 |      1,878 |          0 |        834 |      2,712 |
| docs\cn                                                                                                               |          9 |      1,878 |          0 |        834 |      2,712 |
| include                                                                                                               |          4 |        405 |        375 |        147 |        927 |
| include\chunkserver                                                                                                   |          1 |         72 |         43 |         18 |        133 |
